Reference, Value, Footprint, Datasheet
R20,15K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R19,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C24,.01μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C23,.01μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C25,1n,Capacitors_ThroughHole:C_Disc_D3_P2.5,
U4,CA3140,Housings_DIP:DIP-8_W7.62mm,
C27,1μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C26,1μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C29,10μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C28,10μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
R21,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
P7,CONN_01X20,Pin_Headers:Pin_Header_Straight_1x20,
P6,CONN_01X20,Pin_Headers:Pin_Header_Straight_1x20,
P4,CONN_01X20,Pin_Headers:Pin_Header_Straight_1x20,
J1,JACK_2P,Connect:BARREL_JACK,
SW1,Switch_DPST,Connect:Switch_LED,
R5,100,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R6,100,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
U1,AD620,Housings_DIP:DIP-8_W7.62mm,
C7,0.01μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C8,0.33μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C11,0.01μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C12,0.33μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C9,0.01μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C5,0.01μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C10,0.33μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C6,0.33μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
U2,LM324,Housings_DIP:DIP-14_W7.62mm,
R4,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C4,1n,Capacitors_ThroughHole:C_Rect_L7_W6_P5,
C13,10μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
R9,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R12,470K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R10,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R14,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C21,0.82μ,Capacitors_ThroughHole:C_Rect_L7_W6_P5,
C17,0.47μ,Capacitors_ThroughHole:C_Rect_L7_W6_P5,
R15,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R17,470K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C22,10μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
R1,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C3,1n,Capacitors_ThroughHole:C_Rect_L7_W6_P5,
C2,0.01μ,Capacitors_ThroughHole:C_Rect_L7_W6_P5,
R3,15M,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C1,0.01μ,Capacitors_ThroughHole:C_Rect_L7_W6_P5,
R2,15M,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R16,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R7,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C16,0.82μ,Capacitors_ThroughHole:C_Rect_L7_W6_P5,
C15,0.47μ,Capacitors_ThroughHole:C_Rect_L7_W6_P5,
R11,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R13,470K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R8,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C18,10μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C14,10μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
P1,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
RV1,POT,Pin_Headers:Pin_Header_Angled_1x03,
C19,0.01μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C20,0.33μ,Capacitors_ThroughHole:C_Disc_D3_P2.5,
P8,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
U3,MCP3008,Housings_DIP:DIP-16_W7.62mm,
R18,220,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
P3,CONN_01X07,Pin_Headers:Pin_Header_Straight_1x07,
P2,CONN_01X07,Pin_Headers:Pin_Header_Straight_1x07,
P5,CONN_01X20,Pin_Headers:Pin_Header_Straight_1x20,
R22,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
